EPIC,User Story,Task,Description,Team,Estimation (hours),Dependencies,Priority,Status,Sprint,Milestone,EstadoReal,DetalleFaltante
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos",TASK-016A: Implementar validación de widget/component,"Validar que widgets tengan build(), componentes tengan render(), lifecycle hooks correctos (init, dispose, mount, update)",Compiler Frontend,40,TASK-016,P0,Completed,9,Vela 1.0,No Implementado,"Validación de widget/component no existe. No hay type checking para estos keywords."
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos",TASK-016B: Implementar validación de service/repository,"Validar que services no tengan estado mutable, repositories implementen CRUD",Compiler Frontend,32,TASK-016A,P0,Completed,9,Vela 1.0,No Implementado,"Validación de service/repository no existe. No hay type checking para estos keywords."
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos",TASK-016C: Implementar validación de entity/dto/valueObject,"Validar que entities tengan id, dtos sean serializables, valueObjects sean inmutables",Compiler Frontend,32,TASK-016B,P0,Completed,9,Vela 1.0,No Implementado,"Validación de entity/dto/valueObject no existe. No hay type checking para estos keywords."
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos","TASK-016D: Implementar validación de patrones (factory, builder, strategy, etc)",Validar que cada patrón cumpla con su contrato específico,Compiler Frontend,48,TASK-016C,P0,Completed,9,Vela 1.0,No Implementado,"Validación de patrones no existe. No hay type checking para factory, builder, strategy, etc."
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos",TASK-016E: Implementar validación de controller/middleware/guard,"Validar que controllers tengan endpoints, middlewares implementen handle(), guards tengan canActivate()",Compiler Frontend,40,TASK-016D,P0,Completed,9,Vela 1.0,No Implementado,"Validación de controller/middleware/guard no existe. No hay type checking para estos keywords."
EPIC-02: Type System,"US-04B: Como desarrollador, quiero validación estricta de keywords específicos",TASK-016F: Tests de validación de keywords,Suite completa de tests de reglas inquebrantables para cada tipo,QA,56,TASK-016E,P0,Completed,9,Vela 1.0,No Implementado,"No hay tests de validación de keywords. No existe el sistema de validación para testear."
EPIC-02: Type System,"US-05: Como desarrollador, quiero un semantic analyzer para validar scopes",TASK-021: Implementar symbol table,Estructura de symbol table con scopes anidados,Compiler Frontend,32,TASK-010,P0,Done,10,Vela 1.0,Parcial,"Symbol table existe parcialmente en semantic.rs pero no está completa. Falta implementación de scopes anidados."
EPIC-02: Type System,"US-05: Como desarrollador, quiero un semantic analyzer para validar scopes",TASK-021A: Implementar resolución de imports con prefijos,"Resolver system: desde stdlib, package: desde node_modules, module: con @module, library: con @library, extension: con @extension, assets: desde carpeta assets",Compiler Frontend,40,TASK-021,P0,Done,10,Vela 1.0,No Implementado,"Resolución de imports con prefijos no está implementada. No hay soporte para system:/package:/module:/library:/extension:/assets:"
EPIC-02: Type System,"US-05: Como desarrollador, quiero un semantic analyzer para validar scopes",TASK-021B: Validar reglas de imports por keyword,Verificar que cada tipo específico solo importe lo permitido según sus reglas,Compiler Frontend,32,TASK-021A,P0,Completed,10,Vela 1.0,No Implementado,"Validación de reglas de imports no existe. No hay enforcement de qué puede importar cada keyword."
EPIC-02: Type System,"US-05: Como desarrollador, quiero un semantic analyzer para validar scopes",TASK-022: Implementar name resolution,Resolución de identificadores en todos los scopes,Compiler Frontend,48,TASK-021B,P0,Completed,10,Vela 1.0,No Implementado,"Name resolution no está implementada. No hay resolución de identificadores."
EPIC-02: Type System,"US-05: Como desarrollador, quiero un semantic analyzer para validar scopes",TASK-023: Validar visibilidad (public/private),Enforcement de access control,Compiler Frontend,24,TASK-022,P1,Completed,10,Vela 1.0,No Implementado,"Validación de visibilidad public/private no existe. No hay access control."
EPIC-02: Type System,"US-05: Como desarrollador, quiero un semantic analyzer para validar scopes",TASK-024: Tests de semantic analysis,Tests de scoping y name resolution,QA,24,TASK-022,P0,Completed,10,Vela 1.0,No Implementado,"No hay tests de semantic analysis. No existe semantic analyzer para testear."
EPIC-03: Reactive System,"US-06: Como desarrollador, quiero usar signals para estado reactivo",TASK-025: Diseñar arquitectura del grafo reactivo,Estructura de datos para dependency graph,Reactive Engine,32,,P0,Completed,11,Vela 1.0,Implementado,"Existe documentación ADR-025-arquitectura-grafo-reactivo.md"
EPIC-03: Reactive System,"US-06: Como desarrollador, quiero usar signals para estado reactivo",TASK-026: Implementar Signal<T> core,Implementación básica de signals con get/set,Reactive Engine,40,TASK-025,P0,Completed,11,Vela 1.0,Implementado,"Signal<T> existe en runtime/reactive/src/"
EPIC-03: Reactive System,"US-06: Como desarrollador, quiero usar signals para estado reactivo",TASK-027: Implementar dependency tracking,Tracking automático durante evaluación,Reactive Engine,48,TASK-026,P0,Completed,11,Vela 1.0,Implementado,"Dependency tracking existe en runtime/reactive/"
EPIC-03: Reactive System,"US-06: Como desarrollador, quiero usar signals para estado reactivo",TASK-028: Implementar Computed<T>,Computed values con lazy evaluation,Reactive Engine,48,TASK-027,P0,Completed,11,Vela 1.0,Implementado,"Computed<T> existe en runtime/reactive/"
EPIC-03: Reactive System,"US-06: Como desarrollador, quiero usar signals para estado reactivo",TASK-029: Implementar Effect,Effects con auto-tracking y cleanup,Reactive Engine,40,TASK-027,P0,Completed,11,Vela 1.0,Implementado,"Effect existe en runtime/reactive/"
EPIC-03: Reactive System,"US-06: Como desarrollador, quiero usar signals para estado reactivo",TASK-030: Implementar Watch,Watchers explícitos con callbacks,Reactive Engine,24,TASK-029,P1,Completed,11,Vela 1.0,Implementado,"Watch existe en runtime/reactive/src/watch.rs"
EPIC-03: Reactive System,"US-07: Como desarrollador, quiero un scheduler reactivo eficiente",TASK-031: Implementar reactive scheduler,Scheduler con batching y topological sort,Reactive Engine,64,TASK-029,P0,Completed,12,Vela 1.0,Implementado,"Scheduler existe en runtime/reactive/"
EPIC-03: Reactive System,"US-07: Como desarrollador, quiero un scheduler reactivo eficiente",TASK-032: Implementar batch() API,Agrupación manual de updates,Reactive Engine,16,TASK-031,P1,Completed,12,Vela 1.0,Implementado,"Batch API existe en runtime/reactive/"
EPIC-03: Reactive System,"US-07: Como desarrollador, quiero un scheduler reactivo eficiente",TASK-033: Optimizar propagación con memoization,Evitar recomputes redundantes,Reactive Engine,32,TASK-031,P1,Completed,12,Vela 1.0,Implementado,"Memoization existe en runtime/reactive/"
EPIC-03: Reactive System,"US-07: Como desarrollador, quiero un scheduler reactivo eficiente",TASK-034: Implementar garbage collection de signals,Cleanup automático de signals no usados,Reactive Engine,40,TASK-031,P1,Completed,12,Vela 1.0,Implementado,"GC de signals existe en runtime/reactive/"
EPIC-03: Reactive System,"US-07: Como desarrollador, quiero un scheduler reactivo eficiente",TASK-035: Tests de sistema reactivo,Tests de correctness y performance,QA,48,TASK-034,P0,Completed,12,Vela 1.0,No Implementado,"No hay tests del sistema reactivo. runtime/reactive/ no tiene tests."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035A: Diseñar arquitectura del sistema DI,"Estructura completa: containers, scopes, lifecycle",Language Design,32,,P0,Completed,13,Vela 1.0,Implementado,"Existe ADR-035A-dependency-injection.md"
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035B: Implementar @injectable decorator,Decorator para marcar clases inyectables con scopes,Compiler Frontend,40,TASK-035A,P0,Completed,13,Vela 1.0,No Implementado,"@injectable decorator no está implementado en el compilador."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035C: Implementar @inject decorator,Decorator para parámetros de constructor,Compiler Frontend,24,TASK-035B,P0,Completed,13,Vela 1.0,No Implementado,"@inject decorator no está implementado."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035D: Implementar @container decorator,Decorator para contenedores DI (estándar Spring/Angular/NestJS),Compiler Frontend,32,TASK-035C,P0,Completed,13,Vela 1.0,No Implementado,"@container decorator no está implementado."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035D2: Implementar @controller decorator,Decorator para controladores REST/API con routing automático,Compiler Frontend,40,TASK-035D,P0,Completed,13,Vela 1.0,No Implementado,"@controller decorator no está implementado."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035D3: Implementar decoradores HTTP (@get @post @put @delete @patch),Decoradores para métodos HTTP en controllers,Compiler Frontend,32,TASK-035D2,P0,Completed,13,Vela 1.0,No Implementado,"Decoradores HTTP no están implementados."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035E: Implementar @provides decorator,Decorator para factory methods providers,Compiler Frontend,24,TASK-035D3,P0,Completed,13,Vela 1.0,No Implementado,"@provides decorator no está implementado."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035E2: Implementar @middleware y @guard decorators,Decoradores para middleware y guards en controllers,Compiler Frontend,24,TASK-035E,P0,Completed,13,Vela 1.0,No Implementado,"@middleware y @guard decorators no están implementados."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035F: Implementar Injector core,Contenedor DI con resolución de dependencias,Runtime,64,TASK-035E2,P0,Completed,13,Vela 1.0,No Implementado,"Injector core no existe en runtime/."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia","TASK-035G: Implementar Scopes (Singleton, Transient, Scoped)",Gestión de lifecycle de instancias,Runtime,48,TASK-035F,P0,Completed,13,Vela 1.0,No Implementado,"Scopes DI no están implementados."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035G2: Implementar Router HTTP,Sistema de routing para @controller con path params y query params,Runtime,56,TASK-035G,P0,Completed,13,Vela 1.0,No Implementado,"Router HTTP no existe."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035G3: Implementar Request/Response types,Tipos para HTTP requests y responses con helpers,Runtime,32,TASK-035G2,P0,Completed,13,Vela 1.0,No Implementado,"Request/Response types no existen."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035H: Implementar circular dependency detection,Detección de dependencias circulares,Runtime,32,TASK-035G3,P0,Completed,13,Vela 1.0,No Implementado,"Circular dependency detection no existe."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035I: Integrar DI con testing framework,Mocking y test containers,Runtime,40,TASK-035H,P1,Completed,13,Vela 1.0,No Implementado,"Integración DI con testing no existe."
EPIC-03B: Dependency Injection,"US-07B: Como desarrollador, quiero inyección de dependencias automática para arquitectura limpia",TASK-035J: Tests de sistema DI y REST,"Tests de correctness, scopes, routing y edge cases",QA,56,TASK-035I,P0,Completed,13,Vela 1.0,No Implementado,"No hay tests de DI. No existe el sistema para testear."
EPIC-03C: Event System,"US-07C: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-035K: Diseñar arquitectura del Event Bus,Sistema de eventos type-safe con subscriptions,Language Design,24,,P0,Completed,14,Vela 1.0,Implementado,"Existe ADR-035K-event-system.md"
EPIC-03C: Event System,"US-07C: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-035L: Implementar EventBus<T> core,Event bus genérico con type safety,Stdlib,56,TASK-035K,P0,Completed,14,Vela 1.0,No Implementado,"EventBus<T> no existe en stdlib/."
EPIC-03C: Event System,"US-07C: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-035M: Implementar on/emit/off keywords,Keywords para suscripción y emisión de eventos,Compiler Frontend,40,TASK-035L,P0,Completed,14,Vela 1.0,No Implementado,"Keywords on/emit/off no están implementados."
EPIC-03C: Event System,"US-07C: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-035N: Implementar EventEmitter interface,Interface para objetos emisores de eventos,Stdlib,24,TASK-035M,P0,Completed,14,Vela 1.0,No Implementado,"EventEmitter interface no existe."
EPIC-03C: Event System,"US-07C: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-035O: Implementar event propagation,"Bubbling, capturing y cancelación de eventos",Stdlib,32,TASK-035N,P1,Completed,14,Vela 1.0,No Implementado,"Event propagation no está implementado."
EPIC-03C: Event System,"US-07C: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-035P: Implementar event filtering,Sistema de filtros y organización de eventos,Stdlib,24,TASK-035O,P1,Completed,14,Vela 1.0,No Implementado,"Event filtering no existe."
EPIC-03C: Event System,"US-07C: Como desarrollador, quiero un sistema de eventos genérico para comunicación desacoplada",TASK-035Q: Tests de Event System,"Tests de correctness, memory leaks y performance",QA,40,TASK-035P,P0,Completed,14,Vela 1.0,No Implementado,"No hay tests. No existe el sistema para testear."
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035R: Diseñar arquitectura de Store,Store pattern Redux-style con actions y reducers,Language Design,32,,P0,Completed,15,Vela 1.0,Implementado,"Existe ADR-008-state-management-architecture.md"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035S: Implementar Store<T> base class,Clase base para stores con state y dispatch,Reactive Engine,48,TASK-035R,P0,Completed,15,Vela 1.0,No Implementado,"Store<T> no existe en reactive engine."
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035T: Implementar Action y Reducer types,Tipos para acciones y funciones reductoras,Reactive Engine,24,TASK-035S,P0,Completed,15,Vela 1.0,No Implementado,"Action y Reducer types no existen."
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035U: Implementar dispatch keyword,Keyword para enviar acciones al store,Compiler Frontend,32,TASK-035T,P0,Completed,15,Vela 1.0,No Implementado,"dispatch keyword no está implementado."
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035V: Implementar @connect decorator,Conectar widgets al store global,UI Framework,40,TASK-035U,P0,Completed,15,Vela 1.0,No Implementado,"@connect decorator no existe. UI Framework no está implementado."
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035W: Implementar @select decorator,Optimización: solo re-render si selector cambia,UI Framework,32,TASK-035V,P0,Completed,15,Vela 1.0,No Implementado,"@select decorator no existe."
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035X: Implementar @persistent decorator,Persistencia automática del store,Reactive Engine,40,TASK-035W,P1,Completed,15,Vela 1.0,No Implementado,"@persistent decorator no existe."
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035Y: Implementar middleware system,"Logging, time-travel debugging, async actions",Reactive Engine,48,TASK-035X,P1,Completed,15,Vela 1.0,No Implementado,"Middleware system no existe."
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035Z: Implementar DevTools integration,Inspector de state y time-travel,Tooling,56,TASK-035Y,P2,Completed,15,Vela 1.0,No Implementado,"DevTools integration no existe."
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035AA: Tests de State Management,"Tests de correctness, performance y DevTools",QA,48,TASK-035Z,P0,Completed,15,Vela 1.0,No Implementado,"No hay tests. No existe el sistema para testear."
EPIC-04: Concurrency (Actors),"US-08: Como desarrollador, quiero crear y usar actors para concurrencia segura",TASK-036: Diseñar actor system architecture,Estructura completa del runtime de actors,Concurrency,40,,P0,Completed,16,Vela 1.0,Implementado,"Existe ADR-009-actor-system.md"
EPIC-04: Concurrency (Actors),"US-08: Como desarrollador, quiero crear y usar actors para concurrencia segura",TASK-037: Implementar actor instances,Estructura de actor con estado privado,Concurrency,48,TASK-036,P0,Completed,16,Vela 1.0,Parcial,"Actor instances existen parcialmente en runtime/concurrency/"
EPIC-04: Concurrency (Actors),"US-08: Como desarrollador, quiero crear y usar actors para concurrencia segura",TASK-038: Implementar mailbox system,"Cola de mensajes con estrategias (bounded, unbounded, priority)",Concurrency,56,TASK-037,P0,Completed,16,Vela 1.0,No Implementado,"Mailbox system no está implementado completamente."
EPIC-04: Concurrency (Actors),"US-08: Como desarrollador, quiero crear y usar actors para concurrencia segura",TASK-039: Implementar message processing loop,Loop principal de procesamiento de mensajes,Concurrency,40,TASK-038,P0,Completed,16,Vela 1.0,No Implementado,"Message processing loop no está implementado."
EPIC-04: Concurrency (Actors),"US-08: Como desarrollador, quiero crear y usar actors para concurrencia segura",TASK-040: Implementar thread pool executor,Thread pool para ejecutar actors concurrentemente,Concurrency,64,TASK-039,P0,Completed,16,Vela 1.0,No Implementado,"Thread pool executor no existe."
EPIC-04: Concurrency (Actors),"US-08: Como desarrollador, quiero crear y usar actors para concurrencia segura",TASK-041: Implementar actor scheduling,Scheduler para distribuir trabajo entre threads,Concurrency,48,TASK-040,P0,Completed,16,Vela 1.0,No Implementado,"Actor scheduling no está implementado."
EPIC-04: Concurrency (Actors),"US-09: Como desarrollador, quiero supervision hierarchy para manejo de errores",TASK-042: Implementar supervision strategies,"OneForOne, OneForAll, RestForOne",Concurrency,40,TASK-041,P1,Completed,17,Vela 1.0,No Implementado,"Supervision strategies no están implementadas."
EPIC-04: Concurrency (Actors),"US-09: Como desarrollador, quiero supervision hierarchy para manejo de errores",TASK-043: Implementar restart logic,Reinicio de actors con backoff,Concurrency,32,TASK-042,P1,Completed,17,Vela 1.0,No Implementado,"Restart logic no existe."
EPIC-04: Concurrency (Actors),"US-09: Como desarrollador, quiero supervision hierarchy para manejo de errores",TASK-044: Tests de actor system,Tests de concurrencia y error handling,QA,48,TASK-043,P0,Completed,17,Vela 1.0,No Implementado,"No hay tests del actor system."
EPIC-04: Concurrency (Actors),"US-10: Como desarrollador, quiero usar async/await para código asíncrono",TASK-045: Diseñar async/await semantics,Definir comportamiento de async functions,Language Design,16,,P0,Completed,18,Vela 1.0,Implementado,"Existe ADR-012-async-await-semantics.md"
EPIC-04: Concurrency (Actors),"US-10: Como desarrollador, quiero usar async/await para código asíncrono",TASK-046: Implementar async transform (CPS),Transformar async functions a state machines,Compiler Frontend,80,TASK-045,P0,Completed,18,Vela 1.0,No Implementado,"Async transform no está implementado."
EPIC-04: Concurrency (Actors),"US-10: Como desarrollador, quiero usar async/await para código asíncrono",TASK-047: Implementar Future<T> y Promise<T>,Runtime types para async,Runtime,48,TASK-046,P0,Completed,18,Vela 1.0,Parcial,"Future<T> existe parcialmente en runtime/"
EPIC-04: Concurrency (Actors),"US-10: Como desarrollador, quiero usar async/await para código asíncrono",TASK-048: Implementar executor para futures,Event loop para polling futures,Runtime,56,TASK-047,P0,Completed,18,Vela 1.0,No Implementado,"Executor para futures no está implementado."
EPIC-04: Concurrency (Actors),"US-10: Como desarrollador, quiero usar async/await para código asíncrono",TASK-049: Tests de async/await,Tests de correctness y edge cases,QA,40,TASK-048,P0,Completed,18,Vela 1.0,No Implementado,"No hay tests de async/await."
EPIC-04: Concurrency (Actors),"US-11: Como desarrollador, quiero workers para computación paralela",TASK-050: Implementar Worker API,Spawn y await de workers,Concurrency,40,TASK-048,P1,Completed,19,Vela 1.0,No Implementado,"Worker API no está implementada."
EPIC-04: Concurrency (Actors),"US-11: Como desarrollador, quiero workers para computación paralela",TASK-051: Implementar Channel<T>,Channels para comunicación entre threads,Concurrency,48,TASK-050,P1,Completed,19,Vela 1.0,No Implementado,"Channel<T> no existe."
EPIC-04: Concurrency (Actors),"US-11: Como desarrollador, quiero workers para computación paralela",TASK-052: Tests de workers y channels,Tests de correctness y performance,QA,32,TASK-051,P1,Completed,19,Vela 1.0,No Implementado,"No hay tests de workers y channels."
EPIC-05: UI Framework,"US-12: Como desarrollador, quiero crear interfaces con widgets declarativos",TASK-053: Diseñar arquitectura de widgets,Sistema de composición de widgets,UI Framework,32,,P0,Completed,20,Vela 1.0,Implementado,"Existe ADR-020-widget-architecture.md"
EPIC-05: UI Framework,"US-12: Como desarrollador, quiero crear interfaces con widgets declarativos",TASK-054: Implementar Widget base class,Clase abstracta con lifecycle hooks,UI Framework,24,TASK-053,P0,Completed,20,Vela 1.0,No Implementado,"Widget base class no existe. No hay runtime/ui/"
EPIC-05: UI Framework,"US-12: Como desarrollador, quiero crear interfaces con widgets declarativos","TASK-055: Implementar widgets de layout (Container, Row, Column, Stack)",Widgets fundamentales de layout,UI Framework,80,TASK-054,P0,Completed,20,Vela 1.0,No Implementado,"Widgets de layout no existen."
EPIC-05: UI Framework,"US-12: Como desarrollador, quiero crear interfaces con widgets declarativos","TASK-056: Implementar widgets de input (Button, TextField, Checkbox)",Widgets de entrada básicos,UI Framework,64,TASK-055,P0,Completed,20,Vela 1.0,No Implementado,"Widgets de input no existen."
EPIC-05: UI Framework,"US-12: Como desarrollador, quiero crear interfaces con widgets declarativos","TASK-057: Implementar widgets de display (Text, Image, Icon)",Widgets de presentación,UI Framework,48,TASK-056,P0,Completed,20,Vela 1.0,No Implementado,"Widgets de display no existen."
EPIC-05: UI Framework,"US-13: Como desarrollador, quiero un sistema reactivo integrado en UI",TASK-058: Integrar signals con widgets,Tracking automático en build methods,UI Framework,48,"TASK-029,TASK-054",P0,Completed,21,Vela 1.0,No Implementado,"Integración signals-widgets no existe. UI Framework no está implementado."
EPIC-05: UI Framework,"US-13: Como desarrollador, quiero un sistema reactivo integrado en UI",TASK-059: Implementar Virtual DOM,Representación intermedia del árbol de widgets,UI Framework,64,TASK-058,P0,Completed,21,Vela 1.0,No Implementado,"Virtual DOM no existe."
EPIC-05: UI Framework,"US-13: Como desarrollador, quiero un sistema reactivo integrado en UI",TASK-060: Implementar diffing algorithm,Algoritmo para diff entre VDOMs,UI Framework,56,TASK-059,P0,Completed,21,Vela 1.0,No Implementado,"Diffing algorithm no existe."
EPIC-05: UI Framework,"US-13: Como desarrollador, quiero un sistema reactivo integrado en UI",TASK-061: Implementar patching system,Aplicar patches al DOM real,UI Framework,48,TASK-060,P0,Completed,21,Vela 1.0,No Implementado,"Patching system no existe."
EPIC-05: UI Framework,"US-13: Como desarrollador, quiero un sistema reactivo integrado en UI",TASK-062: Tests de reconciliación reactiva,Tests de updates correctos en UI,QA,40,TASK-061,P0,Completed,21,Vela 1.0,No Implementado,"No hay tests. UI Framework no existe para testear."
EPIC-05: UI Framework,"US-14: Como desarrollador, quiero sistema de estilos y theming",TASK-063: Implementar TextStyle y styling APIs,Sistema de estilos para texto y componentes,UI Framework,32,TASK-057,P1,Completed,22,Vela 1.0,No Implementado,"TextStyle y styling APIs no existen."
EPIC-05: UI Framework,"US-14: Como desarrollador, quiero sistema de estilos y theming",TASK-064: Implementar Color y EdgeInsets,Tipos utilitarios para estilos,UI Framework,16,TASK-063,P1,Completed,22,Vela 1.0,No Implementado,"Color y EdgeInsets no existen."
EPIC-05: UI Framework,"US-14: Como desarrollador, quiero sistema de estilos y theming",TASK-065: Implementar Theme system,Context-based theming,UI Framework,40,TASK-064,P2,Completed,22,Vela 1.0,No Implementado,"Theme system no existe."
