Epic,User Story,Task,Description,Team,Estimation (hours),Dependencies,Priority,Status,Sprint,Milestone,Implementation_Status,Details,Missing_Components
EPIC-05: UI Framework,"US-14: Como desarrollador, quiero sistema de estilos y theming",TASK-063: Implementar TextStyle y styling APIs,Sistema de estilos para texto y componentes,UI Framework,32,TASK-057,P1,Completed,22,Vela 1.0,IMPLEMENTADO,"No hay sistema de estilos","TextStyle and styling APIs"
EPIC-05: UI Framework,"US-14: Como desarrollador, quiero sistema de estilos y theming",TASK-064: Implementar Color y EdgeInsets,Tipos utilitarios para estilos,UI Framework,16,TASK-063,P1,Completed,22,Vela 1.0,IMPLEMENTADO,"No hay tipos Color/EdgeInsets","Color and EdgeInsets type definitions"
EPIC-05: UI Framework,"US-14: Como desarrollador, quiero sistema de estilos y theming",TASK-065: Implementar Theme system,Context-based theming,UI Framework,40,TASK-064,P2,Completed,22,Vela 1.0,IMPLEMENTADO,"No hay Theme system","Theme system with context"
EPIC-05: UI Framework,"US-15: Como desarrollador, quiero navegación y routing",TASK-066: Implementar Router widget,Router con soporte para rutas dinámicas,UI Framework,56,TASK-061,P1,Completed,22,Vela 1.0,IMPLEMENTADO,"No hay Router widget","Router widget with dynamic routes"
EPIC-05: UI Framework,"US-15: Como desarrollador, quiero navegación y routing",TASK-067: Implementar Navigation API,"push, pop, replace, etc.",UI Framework,32,TASK-066,P1,Completed,22,Vela 1.0,IMPLEMENTADO,"No hay Navigation API","Navigation API (push, pop, replace)"
EPIC-05: UI Framework,"US-15: Como desarrollador, quiero navegación y routing",TASK-068: Tests de navegación,Tests de routing correctness,QA,24,TASK-067,P1,Completed,22,Vela 1.0,IMPLEMENTADO,"No hay tests (no hay sistema para testear)","Navigation test suite"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035R: Diseñar arquitectura de Store,Store pattern Redux-style con actions y reducers,Language Design,32,,P0,Completed,15,Vela 1.0,IMPLEMENTADO,"No hay arquitectura de Store","Store architecture (Redux-style)"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035S: Implementar Store<T> base class,Clase base para stores con state y dispatch,Reactive Engine,48,TASK-035R,P0,Completed,15,Vela 1.0,IMPLEMENTADO,"No hay Store<T> base class","Store<T> base class implementation"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035T: Implementar Action y Reducer types,Tipos para acciones y funciones reductoras,Reactive Engine,24,TASK-035S,P0,Completed,15,Vela 1.0,IMPLEMENTADO,"No hay Action/Reducer types","Action and Reducer type definitions"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035U: Implementar dispatch keyword,Keyword para enviar acciones al store,Compiler Frontend,32,TASK-035T,P0,Completed,15,Vela 1.0,IMPLEMENTADO,"No hay dispatch keyword","dispatch keyword parser and semantics"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035V: Implementar @connect decorator,Conectar widgets al store global,UI Framework,40,TASK-035U,P0,Completed,15,Vela 1.0,IMPLEMENTADO,"No hay @connect decorator","@connect decorator for store connection"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035W: Implementar @select decorator,Optimización: solo re-render si selector cambia,UI Framework,32,TASK-035V,P0,Completed,15,Vela 1.0,IMPLEMENTADO,"No hay @select decorator","@select decorator for optimization"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035X: Implementar @persistent decorator,Persistencia automática del store,Reactive Engine,40,TASK-035W,P1,Completed,15,Vela 1.0,IMPLEMENTADO,"No hay @persistent decorator","@persistent decorator for store persistence"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035Y: Implementar middleware system,"Logging, time-travel debugging, async actions",Reactive Engine,48,TASK-035X,P1,Completed,15,Vela 1.0,IMPLEMENTADO,"No hay middleware system","Store middleware (logging, time-travel, async)"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035Z: Implementar DevTools integration,Inspector de state y time-travel,Tooling,56,TASK-035Y,P2,Completed,15,Vela 1.0,IMPLEMENTADO,"DevTools integration completa con Redux-style debugging","DevTools for state inspection and time-travel"
EPIC-03D: State Management,"US-07D: Como desarrollador, quiero state management global para apps complejas",TASK-035AA: Tests de State Management,"Tests de correctness, performance y DevTools",QA,48,TASK-035Z,P0,Completed,15,Vela 1.0,IMPLEMENTADO,"Tests completos implementados con 16 tests pasando","State management test suite"
EPIC-06: Compiler Backend (VelaVM),"US-16: Como desarrollador, quiero un intérprete de bytecode funcional",TASK-070: Implementar bytecode generator desde IR,Traducir Vela IR a bytecode,Compiler Backend,80,"TASK-010,TASK-069",P0,Completed,23,Vela 1.0,NO_IMPLEMENTADO,"No hay bytecode generator","Bytecode generator from IR"
EPIC-06: Compiler Backend (VelaVM),"US-16: Como desarrollador, quiero un intérprete de bytecode funcional",TASK-074: Tests de VelaVM,Tests de correctness de bytecode execution,QA,56,TASK-073,P0,Completed,23,Vela 1.0,NO_IMPLEMENTADO,"No hay tests específicos de VelaVM","VelaVM test suite"
EPIC-06: Compiler Backend (VelaVM),"US-17: Como desarrollador, quiero memory management automático",TASK-076: Implementar cycle detection,Detector de ciclos para complementar ARC,VM,48,TASK-075,P0,Completed,24,Vela 1.0,NO_IMPLEMENTADO,"No hay cycle detection","Cycle detection algorithm"
EPIC-06: Compiler Backend (VelaVM),"US-17: Como desarrollador, quiero memory management automático",TASK-077: Integrar ARC con sistema reactivo,GC de signals y computed,VM,40,"TASK-076,TASK-034",P0,Completed,24,Vela 1.0,NO_IMPLEMENTADO,"No hay integración ARC-reactive","ARC integration with reactive system"
EPIC-06: Compiler Backend (VelaVM),"US-17: Como desarrollador, quiero memory management automático",TASK-078: Tests de memory management,Tests de leaks y correctness,QA,40,TASK-077,P0,Completed,24,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de memory management","Memory management test suite"
EPIC-06: Compiler Backend (VelaVM),"US-18: Como desarrollador, quiero un module loader funcional",TASK-079: Implementar module resolution,Resolución de imports y paths,VM,32,TASK-074,P1,Completed,25,Vela 1.0,NO_IMPLEMENTADO,"No hay module resolution","Module resolution system"
EPIC-06: Compiler Backend (VelaVM),"US-18: Como desarrollador, quiero un module loader funcional",TASK-080: Implementar bytecode loader,Carga de bytecode compilado,VM,24,TASK-079,P1,Completed,25,Vela 1.0,NO_IMPLEMENTADO,"No hay bytecode loader","Bytecode loader"
EPIC-06: Compiler Backend (VelaVM),"US-18: Como desarrollador, quiero un module loader funcional",TASK-081: Tests de module system,Tests de imports y carga,QA,24,TASK-080,P1,Completed,25,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de module system","Module system test suite"
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)",TASK-083: Implementar Set<T>,Set con hash table,Stdlib,40,TASK-082,P0,Completed,26,Vela 1.0,NO_IMPLEMENTADO,"No hay Set<T>","Set<T> with hash table"
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)","TASK-084: Implementar Dict<K,V>",Dictionary con hash table,Stdlib,48,TASK-083,P0,Completed,26,Vela 1.0,NO_IMPLEMENTADO,"No hay Dict<K,V>","Dict<K,V> with hash table"
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)",TASK-085: Implementar Queue y Stack,Estructuras de datos adicionales,Stdlib,24,TASK-082,P1,Completed,26,Vela 1.0,NO_IMPLEMENTADO,"No hay Queue/Stack","Queue and Stack implementations"
EPIC-07: Standard Library,"US-19: Como desarrollador, quiero colecciones estándar (List, Set, Dict)",TASK-086: Tests de colecciones,Tests exhaustivos de todas las colecciones,QA,40,TASK-085,P0,Completed,26,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de colecciones","Collection test suite"
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-087: Implementar File API,Lectura/escritura de archivos,Stdlib,48,,P1,Completed,27,Vela 1.0,NO_IMPLEMENTADO,"No hay File API","File I/O API"
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-088: Implementar Directory API,Operaciones con directorios,Stdlib,24,TASK-087,P1,Completed,27,Vela 1.0,NO_IMPLEMENTADO,"No hay Directory API","Directory operations API"
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-089: Implementar HttpClient,Cliente HTTP básico,Stdlib,64,TASK-048,P1,Completed,27,Vela 1.0,NO_IMPLEMENTADO,"No hay HttpClient","HTTP client implementation"
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-090: Implementar WebSocket,Soporte para WebSockets,Stdlib,56,TASK-089,P2,Completed,27,Vela 1.0,NO_IMPLEMENTADO,"No hay WebSocket","WebSocket support"
EPIC-07: Standard Library,"US-20: Como desarrollador, quiero APIs de I/O y networking",TASK-091: Tests de I/O y networking,Tests de correctness y error handling,QA,40,TASK-090,P1,Completed,27,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de I/O","I/O and networking test suite"
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-092: Implementar JSON parser,Parser de JSON,Stdlib,40,,P1,Completed,28,Vela 1.0,NO_IMPLEMENTADO,"No hay JSON parser","JSON parser implementation"
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-093: Implementar JSON encoder,Serialización a JSON,Stdlib,32,TASK-092,P1,Completed,28,Vela 1.0,NO_IMPLEMENTADO,"No hay JSON encoder","JSON encoder implementation"
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-094: Implementar JSON decorators para types,Serialización automática de tipos custom,Stdlib,48,TASK-093,P2,Completed,28,Vela 1.0,NO_IMPLEMENTADO,"No hay JSON decorators","JSON serialization decorators"
EPIC-07: Standard Library,"US-21: Como desarrollador, quiero serialización JSON",TASK-095: Tests de JSON,Tests de parsing y encoding,QA,24,TASK-094,P1,Completed,28,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de JSON","JSON test suite"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-097: Implementar vela build,Compilación de proyectos,Tooling,48,"TASK-070,TASK-096",P0,Completed,29,Vela 1.0,NO_IMPLEMENTADO,"No hay vela build funcional","vela build command"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-098: Implementar vela run,Ejecución de proyectos,Tooling,32,"TASK-097,TASK-074",P0,Completed,29,Vela 1.0,NO_IMPLEMENTADO,"No hay vela run","vela run command"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-099: Implementar vela test,Runner de tests,Tooling,48,TASK-098,P1,Completed,29,Vela 1.0,NO_IMPLEMENTADO,"No hay vela test","vela test command"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-100: Implementar vela fmt,Formatter de código,Tooling,40,TASK-096,P1,Completed,29,Vela 1.0,NO_IMPLEMENTADO,"No hay vela fmt","vela fmt command"
EPIC-08: Tooling (CLI),"US-22: Como desarrollador, quiero un CLI para gestionar proyectos",TASK-101: Implementar vela doctor,Diagnóstico de instalación,Tooling,24,TASK-096,P2,Completed,29,Vela 1.0,NO_IMPLEMENTADO,"No hay vela doctor","vela doctor command"
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-103: Implementar vela install,Instalación de dependencias,Tooling,56,TASK-102,P1,Completed,30,Vela 1.0,NO_IMPLEMENTADO,"No hay vela install","vela install command"
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-104: Implementar dependency resolution,Resolución de versiones y conflictos,Tooling,64,TASK-103,P1,Completed,30,Vela 1.0,NO_IMPLEMENTADO,"No hay dependency resolution","Dependency resolution algorithm"
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-105: Implementar vela publish,Publicación de paquetes a registro,Tooling,40,TASK-104,P2,Completed,30,Vela 1.0,NO_IMPLEMENTADO,"No hay vela publish","vela publish command"
EPIC-08: Tooling (CLI),"US-23: Como desarrollador, quiero un package manager",TASK-106: Tests de package manager,Tests de instalación y resolución,QA,32,TASK-105,P1,Completed,30,Vela 1.0,NO_IMPLEMENTADO,"No hay tests de package manager","Package manager test suite"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-108: Implementar textDocument/completion,Autocompletado de código,Tooling,56,"TASK-107,TASK-022",P1,Completed,31,Vela 1.0,NO_IMPLEMENTADO,"No hay textDocument/completion","LSP completion handler"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-109: Implementar textDocument/hover,Tooltips con información de tipos,Tooling,32,"TASK-107,TASK-020",P1,Completed,31,Vela 1.0,NO_IMPLEMENTADO,"No hay textDocument/hover","LSP hover handler"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-110: Implementar textDocument/definition,Go to definition,Tooling,40,"TASK-107,TASK-022",P1,Completed,31,Vela 1.0,NO_IMPLEMENTADO,"No hay textDocument/definition","LSP definition handler"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-111: Implementar textDocument/publishDiagnostics,Errores y warnings en tiempo real,Tooling,48,"TASK-107,TASK-012,TASK-020",P1,Completed,31,Vela 1.0,NO_IMPLEMENTADO,"No hay textDocument/publishDiagnostics","LSP diagnostics handler"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-112: Implementar textDocument/rename,Refactoring: renombrado,Tooling,40,TASK-111,P2,Completed,31,Vela 1.0,NO_IMPLEMENTADO,"No hay textDocument/rename","LSP rename handler"
EPIC-09: Tooling (LSP),"US-24: Como desarrollador, quiero autocompletado y diagnósticos en mi editor",TASK-113: Tests de LSP,Tests de protocolo y features,QA,32,TASK-112,P1,Completed,31,Vela 2.0,NO_IMPLEMENTADO,"No hay tests de LSP","LSP test suite"
